Type,Method,Bg_RRGGBB,Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b,BGLValue,FGLValue,NuetralValue,Region,Distance,Blend_L,Blend_A,Blend_B,Blend_Original_Distance,Blend_compensated_Distance
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,57.51315966,18.92571529,-18.85033932,50.0433872,17.56099551,-39.69991519,44.28149308,10.36735505,-20.45939924,0,52.84938325,13.86009098,-4.860676525,49.65340535,16.92035636,-34.57962123,0,1,1,5,5.174931362,54.94449825,22.82006805,-52.23469881,14.44989736,19.35210651
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,43.54630381,-19.00926796,27.88865317,34.9932216,-19.99101731,17.11993271,23.91422639,-100.0515315,-41.48197738,1,52.84186876,-41.25962266,9.016171644,51.11730806,-4.735218533,-37.35865745,0,0,1,2,58.82722453,42.63657296,-1.514556327,-25.97051423,47.50354774,14.5597163
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,66.44956752,-20.80481699,-33.99446682,63.42132275,2.75326661,-62.38779723,59.59296619,-4.383832978,-53.59356706,0,62.40817671,-23.13419665,-27.86890721,62.7600715,1.599585791,-56.16021822,0,1,1,4,6.367964586,66.91240177,8.485448139,-57.04758315,8.576912281,8.089769063
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,47.35032292,47.21294997,36.12141103,36.55559679,41.00700717,19.42493446,26.38689774,41.50151518,-37.05746446,0,37.04325742,64.52050053,-12.18073315,40.06467426,49.00015793,-55.57416337,0,0,1,1,75.50542205,43.83028654,42.22025612,-24.03362112,44.07991762,32.48003555
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.52209865,-37.75886705,32.7418041,68.64247039,-52.64437038,27.15190257,65.30158112,-67.9253661,108.5361483,1,71.12319364,-63.57498269,70.23954843,71.43943594,-50.61396373,18.62083119,0,1,1,2,9.204604627,71.73859419,-41.0810524,1.306554894,28.48294756,19.76739886
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,62.06832742,13.62213872,37.48048933,52.21946441,6.078935507,28.94446023,46.86789317,-3.418728783,8.409249863,0,57.6148475,4.273275569,19.02087106,53.64293647,7.467395077,-26.55956014,0,1,1,1,55.53962882,56.8419168,12.86594164,-8.186772431,38.02839672,19.41486823
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,79.312942,-51.15721673,1.585710449,78.9893984,-46.61261286,-11.10826123,76.36836586,-56.47791559,5.26163447,0,78.47044382,-57.00400342,14.42888381,79.68206582,-45.92228241,-5.28822066,0,1,1,3,5.901628294,81.47325815,-38.37297401,-23.64873604,15.20936278,19.93261027
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,61.53267513,72.24154049,-34.25934612,56.06275496,78.383585,-60.7478478,51.32903196,80.59199916,-50.63713558,0,56.07516332,83.50864857,-30.4252248,55.90712222,75.35431472,-57.20609152,0,1,1,6,4.663125296,60.24492557,76.99310712,-68.54323178,8.954998107,12.24879291
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,48.23139853,23.13761554,4.693435736,37.38995168,18.06922448,-8.834435205,27.65193949,6.801394685,-12.24026362,0,39.03930728,9.067504603,4.741605855,38.49846139,19.97715054,-45.6413499,0,0,1,6,36.8729975,44.47733197,24.40477163,-35.38110829,28.19744614,12.67372399
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,52.059733,67.31695007,-43.73636096,45.20664686,72.07623477,-68.73154765,38.32075626,76.64692967,-59.53308339,0,46.37619409,79.59849846,-45.14072427,47.55942456,67.64638512,-67.46119316,0,1,1,5,5.1742566,50.81694807,69.72399146,-75.98656884,9.46804419,9.360018059
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,43.07008199,-38.47058015,27.32335003,36.7900138,-32.68944175,17.67200499,26.74584193,-100.2852093,-35.50189556,1,66.52665939,-49.27132257,10.9513513,61.30754696,-17.09717027,-32.01837976,0,0,1,3,57.56181633,44.01142322,-10.53487779,-24.41396746,48.10615901,20.0011666
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,57.58273125,32.84521927,-23.44330247,50.39342607,33.13853613,-44.84490149,44.70095088,29.50261948,-28.23548759,0,52.83571193,32.98611538,-9.659168618,49.06881422,32.06183433,-38.99631485,0,1,1,5,6.092606093,55.24815278,36.13591889,-56.21213081,12.71874905,18.73944261
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,85.89332611,9.304369696,-9.540843249,84.25390189,6.537575347,-27.14844502,81.91090982,2.538827628,-15.91090911,0,85.72276273,9.732348756,4.611332952,83.34230984,9.0726538,-27.18998692,0,1,0,5,2.694317828,86.49221783,10.13530921,-23.28927961,5.731221932,5.125102375
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,47.21810925,57.80968598,16.95527538,37.11474085,50.83024249,4.245845565,27.238457,54.75026755,-26.46518773,1,42.0194061,63.99901742,-11.7505758,41.7514699,52.72496537,-51.36556812,0,0,1,6,55.8365343,44.26319217,50.20114161,-29.29004532,34.29507402,22.36083947
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,62.01161822,37.40311007,4.425166287,52.18031245,37.72737908,-14.12708612,46.82178461,34.9762154,24.60962564,0,57.19576987,37.45280256,37.00958967,51.78063334,37.50511517,-16.24835694,0,1,1,6,2.170007956,56.80757976,40.12838484,-32.94530633,19.52695171,17.63348669
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.61475063,18.4415479,32.91773618,62.68030804,11.98902593,21.83277661,58.77375675,6.082167269,68.35700239,1,71.48114539,15.95140534,75.00165301,66.61151178,12.49339814,12.76952396,0,1,1,1,9.891981741,66.23325137,16.80260516,-5.140121176,27.6284485,18.4246502
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,20.63762889,-4.470993083,-4.475970067,17.24974302,-1.144460201,-5.684334449,15.83043298,33.86506286,-58.21673243,0,34.53963727,-0.227403542,-4.078207839,35.92647043,27.71278745,-60.06365831,0,0,0,4,64.3325093,31.2916894,16.88079851,-43.33127211,44.03837105,20.46425976
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.55810699,42.40770986,-9.526892305,64.92683719,44.87093523,-33.43927197,61.24994902,42.9866101,-18.32225302,0,71.54210992,42.41345909,-0.055276394,66.21315631,44.03602162,-31.42589617,0,1,1,6,2.530885167,68.29690769,46.60977843,-44.77735721,11.95546435,13.75600799
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,62.06477148,37.51897454,-52.13341849,57.7081191,55.91579937,-72.91703604,53.2045267,55.4759474,-65.40467311,0,57.31961654,47.20203139,-37.68795923,55.86684939,51.29662154,-72.36095841,0,1,1,5,5.003628713,61.71983729,56.56443063,-66.00028053,8.022226132,10.12252454
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,32.02841382,65.66983888,-59.43355056,28.31386325,61.28567486,-76.26097408,10.21275416,88.49716969,-77.81412197,1,26.99724836,61.31876965,-64.42333595,35.3607351,48.58517122,-72.39185263,0,0,1,5,15.03101116,37.83544997,56.15497265,-81.03495225,11.82267256,11.75284129
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,66.8407257,14.2596019,27.81151295,57.78465429,4.24054679,20.69375174,53.29132857,-3.973768369,40.73133207,0,62.09983189,4.054826951,47.36918304,57.77031603,4.765998739,-6.458230156,0,1,1,1,27.15706954,61.78868576,10.51097518,-8.575358691,30.19985705,7.323543052
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,66.76901601,33.14132789,-9.672258017,59.18661562,33.83236171,-32.17795865,54.87493917,30.61182589,-14.23913191,0,62.0352107,32.95988579,4.354111475,57.35689362,34.88143099,-27.86540334,0,1,1,6,4.800683519,63.05347696,36.59483884,-44.73794349,13.42896555,17.8904846
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,34.07215977,-10.28060871,-23.67840227,27.54549315,9.101151216,-38.65935733,7.848673434,-25.79634194,-19.74386609,1,20.7806597,-9.55543432,-0.056712101,30.10816838,28.56779343,-56.95800112,0,0,1,4,26.83948263,37.31887328,19.51693553,-54.94142165,21.65901984,11.74644145
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,85.37759809,-63.1748376,18.15105365,86.59310526,-63.12553186,10.87237176,84.35933744,-72.73429097,30.78197221,0,84.60380463,-68.59839722,31.69429638,86.99195936,-60.94942707,15.06373944,0,1,1,3,4.739417652,88.73361953,-54.89110267,-3.843263351,16.99816291,19.93016381
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,48.80414075,9.128065033,53.88837698,38.50721897,1.142898376,33.03865404,29.29583097,-21.11758262,-35.61944107,1,47.97178038,-28.04758655,-9.481025119,46.63151234,9.07963426,-51.81677114,0,0,1,1,85.61214342,45.3536659,11.60614244,-18.5738821,53.10562304,33.36324035
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,95.35027894,-23.8717533,52.16837501,96.22238137,-46.27299863,53.35059282,94.36529621,-52.44906952,88.47691527,0,95.06022507,-28.77435224,76.66216232,95.48003261,-41.91927921,54.15303623,0,1,1,2,4.488860646,98.01995725,-40.7046465,32.11815415,22.02394779,22.2140176
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,52.7228067,37.70576144,-14.29759111,42.68025703,38.78605095,-34.92591222,35.05096033,36.80509262,-5.737713031,0,47.75002984,37.43890455,13.36970082,43.74133029,34.13516251,-30.41262912,0,1,1,6,6.567066627,48.71806357,40.83695743,-49.98673639,16.35511387,21.27974635
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,34.19040371,13.32363792,27.81799485,23.35485669,3.268477471,9.966082421,4.662031566,50.37340444,-78.91883487,1,34.18676798,13.94913802,-0.502731908,34.88293313,32.48766043,-59.59596464,0,0,1,1,76.3251963,34.65302537,17.09410736,-36.32247044,49.61276835,27.90465671
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,41.0192224,65.74965208,33.94653917,34.67104457,45.87501242,25.90145046,23.38469505,49.76636432,-45.65933247,0,42.41898888,58.38857723,-2.034226797,39.91530053,54.14075389,-56.36875702,0,0,1,6,82.85053857,42.39344353,45.83593127,-23.80428491,50.30205863,33.69801352
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,66.90132171,-43.31269418,57.95590151,62.64246883,-56.89767577,56.45436968,58.73185712,-77.90755901,22.54675963,1,71.32309436,-61.74037633,32.44522865,70.32978349,-41.68342284,-3.698787206,0,1,1,2,62.52176087,66.19861333,-42.46576168,11.8128751,47.0509229,16.07141215
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,76.47888874,-4.687502243,4.794056884,72.77651423,-16.35291102,-11.52867348,69.75623624,-24.06018373,7.549070793,0,71.51723752,-13.96263951,18.74893611,70.21093919,-18.2971874,-4.166371182,0,1,0,2,8.035289731,75.60418238,-9.927812879,-25.33167735,15.48549351,23.39024769
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,80.90956241,-42.82638045,47.19177386,78.91148853,-64.77105596,45.4064317,76.28596582,-77.20857289,122.9689992,1,85.50009762,-57.86295707,78.23611781,85.02701292,-61.85375707,39.66422268,0,1,1,2,8.881623489,81.39927289,-54.63061257,18.30672173,29.04155546,22.83587443
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,56.82979993,57.01569021,36.3440368,46.73744322,52.74183128,26.18300963,40.24434059,53.31957508,-7.666006594,0,46.27218258,74.38440212,1.906874998,47.49496263,57.22367683,-38.98207528,0,1,1,1,65.32341897,52.10872842,53.00312087,-13.56661188,40.11173627,26.17337783
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,38.49261085,30.89328815,-70.75710507,36.35705784,61.30231482,-96.17175726,26.08061631,69.30978246,-95.94733892,0,28.60574946,45.33941809,-76.11243625,36.36654625,62.37498364,-95.03901239,0,0,1,4,1.560070309,43.67727967,58.63680594,-97.10813851,7.846489343,8.467707983
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,29.72330602,-5.984132036,38.33679316,21.15093775,-6.818328108,9.538239718,10.07743812,49.90719503,-70.38826826,1,38.98544942,8.794307568,-9.00886791,38.63824645,29.61966996,-59.36395098,0,0,1,1,79.88144686,33.36317415,12.83736227,-37.84562629,52.73249132,27.79407377
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,62.02080898,-43.56998028,58.96996058,56.86533462,-50.3876774,51.4963923,52.2461614,-75.50415631,8.824780527,1,73.29187297,-61.34542415,28.99889816,70.72589284,-38.25112362,-9.270999781,0,1,1,2,63.49871615,60.96310258,-34.67692622,4.551517356,49.67333982,17.29592266
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.63307746,4.370947562,28.30768686,64.34671089,-6.411621615,19.09801639,60.61259252,-14.76599179,103.1932742,1,71.45518099,-5.416638264,73.76822765,67.0136129,-8.278577152,12.60896209,0,1,1,1,7.259870179,67.76268463,0.226859295,-5.95573145,26.1424671,20.43407458
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,62.01161822,37.40311007,4.425166287,52.18031245,37.72737908,-14.12708612,46.82178461,34.9762154,24.60962564,0,57.19576987,37.45280256,37.00958967,51.78063334,37.50511517,-16.24835694,0,1,1,6,2.170007956,56.80757976,40.12838484,-32.94530633,19.52695171,17.63348669
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,47.98383616,-18.86916661,-5.282338583,40.08949262,-17.4645289,-17.75605636,31.54110517,-54.4754363,23.76529901,1,43.13899127,-49.1275702,47.4198902,44.67426636,-8.889391846,-25.79203199,0,0,0,3,12.61467519,46.613085,-2.276196991,-39.35275558,27.19669283,15.21139666
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,66.99844775,-14.14888974,4.768897639,61.88648946,-20.05391671,-8.95393088,57.8933375,-31.77215045,19.90441222,0,62.31976912,-18.91724243,28.21550228,60.22154855,-19.7350416,-4.404066077,0,1,0,3,4.855407222,65.50746619,-11.23999909,-26.21064807,19.71270921,23.99236734
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,46.47557419,73.73919053,15.86947355,41.82158507,55.61685064,11.67605243,33.90756566,58.34569879,-14.4480131,0,42.64662456,69.53617696,-0.121365089,43.94473133,54.23814178,-44.38850855,0,0,1,6,56.12168552,48.01480093,54.90735101,-23.11792145,35.3479834,21.66682218
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,18.06757213,36.19730106,27.66889087,14.00129654,26.29594222,-6.270173141,18.76176867,10.36730581,-54.5809354,1,22.66227262,47.02395635,-8.837929456,31.98834161,36.82184479,-61.47466162,0,0,1,1,59.00732127,29.79054856,29.3081689,-44.73007277,41.68378424,18.48423316
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,57.42057006,-57.07103873,42.54717252,53.75004666,-50.96280881,33.95091516,48.65934953,-81.35497981,9.716898439,1,71.40174567,-58.37086583,32.62005979,68.23380997,-34.99459989,-10.70966948,0,1,1,3,49.5916416,58.1896606,-33.57174938,-4.84258034,42.74452495,11.71888114
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,16.09020309,-5.493270655,23.23902263,13.41172685,-0.387224001,-8.915241263,19.18711798,28.62757074,-53.41639331,0,34.53963727,-0.227403542,-4.078207839,36.46124184,28.21725558,-60.99024258,0,0,1,1,63.72834656,29.54104915,18.41524091,-45.52741299,44.20564266,19.57211428
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,38.98063323,4.120672616,18.31743663,29.72566395,-1.491982815,8.604356331,13.84959299,-47.3608055,-59.06581975,1,47.71756628,-30.56208965,-5.264180996,45.97472435,7.331559433,-47.78741654,0,0,0,1,59.3457573,38.80524244,12.36752383,-32.40157664,44.22681549,17.70554935
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,85.79052343,-48.03729542,62.19390424,84.96069878,-74.0742765,67.57059008,82.65155833,-85.50587741,91.31293115,1,85.21706862,-83.54354916,78.44972054,88.60961998,-73.78002879,43.00494681,0,1,1,2,24.83690876,87.16878347,-64.47810104,35.19545996,33.83949278,12.23069722
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,56.94183122,-35.22699042,-5.632874616,51.92754081,-23.57749333,-18.52460707,46.52374313,-42.92199767,15.01422326,0,52.47743755,-45.35869512,18.06914101,53.33043882,-20.81222572,-15.99257218,0,1,1,3,4.003252236,56.5860643,-11.4288561,-36.09688388,21.86495232,22.42387281
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,48.06160432,13.93513419,23.25492159,37.63523821,8.998717098,10.48955271,28.01749017,-8.258225018,-28.74678319,0,43.57159002,-4.445129,-4.647903085,43.55120971,12.91999843,-47.13613044,0,0,1,1,58.06112748,44.66876957,17.57413616,-26.39412714,38.5151167,21.2871003
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,42.63964243,2.560972476,-44.34173835,37.31683971,28.23631486,-66.46872184,27.5424442,22.64029568,-56.48835652,0,33.67521862,2.145429678,-38.07151165,37.51741794,21.27032809,-59.42511574,0,0,1,4,9.908460536,44.42037636,32.21560837,-74.15201564,11.19499948,19.60437645
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,76.28417644,28.01379501,28.17312137,68.76937084,22.80076207,13.82817336,65.43909875,18.87778972,55.1303737,0,76.07113108,23.11626869,56.41428508,70.20393814,21.60082925,15.33651008,0,1,1,1,2.402686366,71.85671458,26.19486341,-7.445852374,21.763175,23.29963216
